nodea,nodeb,weight
1,0,5.000000
2,1,5.000000
3,2,5.000000
4,3,5.000000
5,4,5.000000
6,5,5.000000
7,6,5.000000
8,7,5.000000
9,8,5.000000
10,9,5.000000
11,10,5.000000
12,11,5.000000
13,12,5.000000
14,13,5.000000
15,14,5.000000
16,15,5.000000
17,16,5.000000
18,17,5.000000
19,18,5.000000
20,19,5.000000
21,20,5.000000
22,21,5.000000
23,22,5.000000
24,23,5.000000
25,0,5.000000
25,1,7.071068
26,0,7.071068
26,1,5.000000
26,2,7.071068
26,25,5.000000
27,1,7.071068
27,2,5.000000
27,3,7.071068
27,26,5.000000
28,2,7.071068
28,3,5.000000
28,4,7.071068
28,27,5.000000
29,3,7.071068
29,4,5.000000
29,5,7.071068
29,28,5.000000
30,16,7.071068
30,17,5.000000
30,18,7.071068
31,17,7.071068
31,18,5.000000
31,19,7.071068
31,30,5.000000
32,18,7.071068
32,19,5.000000
32,20,7.071068
32,31,5.000000
33,19,7.071068
33,20,5.000000
33,21,7.071068
33,32,5.000000
34,20,7.071068
34,21,5.000000
34,22,7.071068
34,33,5.000000
35,21,7.071068
35,22,5.000000
35,23,7.071068
35,34,5.000000
36,22,7.071068
36,23,5.000000
36,24,7.071068
36,35,5.000000
37,23,7.071068
37,24,5.000000
37,36,5.000000
38,24,7.071068
38,37,5.000000
40,39,5.000000
41,40,5.000000
42,41,5.000000
43,25,5.000000
43,26,7.071068
44,25,7.071068
44,26,5.000000
44,27,7.071068
44,43,5.000000
45,26,7.071068
45,27,5.000000
45,28,7.071068
45,44,5.000000
46,27,7.071068
46,28,5.000000
46,29,7.071068
46,45,5.000000
47,28,7.071068
47,29,5.000000
47,46,5.000000
48,31,7.071068
48,32,5.000000
48,33,7.071068
49,32,7.071068
49,33,5.000000
49,34,7.071068
49,48,5.000000
50,33,7.071068
50,34,5.000000
50,35,7.071068
50,49,5.000000
51,34,7.071068
51,35,5.000000
51,36,7.071068
51,50,5.000000
52,35,7.071068
52,36,5.000000
52,37,7.071068
52,51,5.000000
53,36,7.071068
53,37,5.000000
53,38,7.071068
53,52,5.000000
54,37,7.071068
54,38,5.000000
54,53,5.000000
55,39,5.000000
55,40,7.071068
56,39,7.071068
56,40,5.000000
56,41,7.071068
56,55,5.000000
57,40,7.071068
57,41,5.000000
57,42,7.071068
57,56,5.000000
58,41,7.071068
58,42,5.000000
58,57,5.000000
59,43,5.000000
59,44,7.071068
60,43,7.071068
60,44,5.000000
60,45,7.071068
60,59,5.000000
61,44,7.071068
61,45,5.000000
61,46,7.071068
61,60,5.000000
62,45,7.071068
62,46,5.000000
62,47,7.071068
62,61,5.000000
63,48,7.071068
63,49,5.000000
63,50,7.071068
64,49,7.071068
64,50,5.000000
64,51,7.071068
64,63,5.000000
65,50,7.071068
65,51,5.000000
65,52,7.071068
65,64,5.000000
66,51,7.071068
66,52,5.000000
66,53,7.071068
66,65,5.000000
67,52,7.071068
67,53,5.000000
67,54,7.071068
67,66,5.000000
68,53,7.071068
68,54,5.000000
68,67,5.000000
69,54,7.071068
69,68,5.000000
70,55,7.071068
71,55,5.000000
71,56,7.071068
71,70,5.000000
72,55,7.071068
72,56,5.000000
72,57,7.071068
72,71,5.000000
73,56,7.071068
73,57,5.000000
73,58,7.071068
73,72,5.000000
74,57,7.071068
74,58,5.000000
74,73,5.000000
75,58,7.071068
75,74,5.000000
76,59,7.071068
77,59,5.000000
77,60,7.071068
77,76,5.000000
78,59,7.071068
78,60,5.000000
78,61,7.071068
78,77,5.000000
79,60,7.071068
79,61,5.000000
79,62,7.071068
79,78,5.000000
80,61,7.071068
80,62,5.000000
80,79,5.000000
81,63,7.071068
81,64,5.000000
81,65,7.071068
82,64,7.071068
82,65,5.000000
82,66,7.071068
82,81,5.000000
83,65,7.071068
83,66,5.000000
83,67,7.071068
83,82,5.000000
84,66,7.071068
84,67,5.000000
84,68,7.071068
84,83,5.000000
85,67,7.071068
85,68,5.000000
85,69,7.071068
85,84,5.000000
86,68,7.071068
86,69,5.000000
86,85,5.000000
87,69,7.071068
87,86,5.000000
88,87,5.000000
89,70,7.071068
90,70,5.000000
90,71,7.071068
90,89,5.000000
91,70,7.071068
91,71,5.000000
91,72,7.071068
91,90,5.000000
92,71,7.071068
92,72,5.000000
92,73,7.071068
92,91,5.000000
93,72,7.071068
93,73,5.000000
93,74,7.071068
93,92,5.000000
94,73,7.071068
94,74,5.000000
94,75,7.071068
94,93,5.000000
95,74,7.071068
95,75,5.000000
95,94,5.000000
96,75,7.071068
96,95,5.000000
97,76,5.000000
97,77,7.071068
98,76,7.071068
98,77,5.000000
98,78,7.071068
98,97,5.000000
99,77,7.071068
99,78,5.000000
99,79,7.071068
99,98,5.000000
100,78,7.071068
100,79,5.000000
100,80,7.071068
100,99,5.000000
101,79,7.071068
101,80,5.000000
101,100,5.000000
102,81,7.071068
102,82,5.000000
102,83,7.071068
103,82,7.071068
103,83,5.000000
103,84,7.071068
103,102,5.000000
104,83,7.071068
104,84,5.000000
104,85,7.071068
104,103,5.000000
105,84,7.071068
105,85,5.000000
105,86,7.071068
105,104,5.000000
106,85,7.071068
106,86,5.000000
106,87,7.071068
106,105,5.000000
107,86,7.071068
107,87,5.000000
107,88,7.071068
107,106,5.000000
108,87,7.071068
108,88,5.000000
108,107,5.000000
109,88,7.071068
109,108,5.000000
111,89,7.071068
111,110,5.000000
112,89,5.000000
112,90,7.071068
112,111,5.000000
113,89,7.071068
113,90,5.000000
113,91,7.071068
113,112,5.000000
114,90,7.071068
114,91,5.000000
114,92,7.071068
114,113,5.000000
115,91,7.071068
115,92,5.000000
115,93,7.071068
115,114,5.000000
116,92,7.071068
116,93,5.000000
116,94,7.071068
116,115,5.000000
117,93,7.071068
117,94,5.000000
117,95,7.071068
117,116,5.000000
118,94,7.071068
118,95,5.000000
118,96,7.071068
118,117,5.000000
119,95,7.071068
119,96,5.000000
119,118,5.000000
120,96,7.071068
120,119,5.000000
121,97,5.000000
121,98,7.071068
122,97,7.071068
122,98,5.000000
122,99,7.071068
122,121,5.000000
123,98,7.071068
123,99,5.000000
123,100,7.071068
123,122,5.000000
124,99,7.071068
124,100,5.000000
124,101,7.071068
124,123,5.000000
125,100,7.071068
125,101,5.000000
125,124,5.000000
126,102,7.071068
126,103,5.000000
126,104,7.071068
127,103,7.071068
127,104,5.000000
127,105,7.071068
127,126,5.000000
128,104,7.071068
128,105,5.000000
128,106,7.071068
128,127,5.000000
129,105,7.071068
129,106,5.000000
129,107,7.071068
129,128,5.000000
130,106,7.071068
130,107,5.000000
130,108,7.071068
130,129,5.000000
131,107,7.071068
131,108,5.000000
131,109,7.071068
131,130,5.000000
132,108,7.071068
132,109,5.000000
132,131,5.000000
133,109,7.071068
133,132,5.000000
135,110,7.071068
135,134,5.000000
136,110,5.000000
136,111,7.071068
136,135,5.000000
137,110,7.071068
137,111,5.000000
137,112,7.071068
137,136,5.000000
138,111,7.071068
138,112,5.000000
138,113,7.071068
138,137,5.000000
139,112,7.071068
139,113,5.000000
139,114,7.071068
139,138,5.000000
140,113,7.071068
140,114,5.000000
140,115,7.071068
140,139,5.000000
141,114,7.071068
141,115,5.000000
141,116,7.071068
141,140,5.000000
142,115,7.071068
142,116,5.000000
142,117,7.071068
142,141,5.000000
143,116,7.071068
143,117,5.000000
